top - 22:41:29 up  4:30,  1 user,  load average: 0.74, 0.76, 0.78
Tasks: 238 total,   3 running, 233 sleeping,   0 stopped,   2 zombie
%Cpu(s):  7.3 us,  3.2 sy,  0.0 ni, 89.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7893.1 total,   1954.5 free,   1915.2 used,   4023.3 buff/cache
MiB Swap:   8172.0 total,   8172.0 free,      0.0 used.   5793.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  721 root      20   0 1144452  49708  25084 S   0.4   0.6   3:42.05 deepin-de+
 1570 root      20   0    7300   4332   4064 S   0.4   0.1   0:41.73 ipwatchd
 2785 hbyc      20   0 1509148 107660  79752 S   0.4   1.3   1:23.40 dde-lock
   10 root      20   0       0      0      0 I   0.2   0.0   0:54.19 rcu_sched
  633 message+  20   0    9960   6488   3264 S   0.2   0.1   0:46.19 dbus-daem+
  646 root      20   0  346292  17696  15120 S   0.2   0.2   0:17.38 NetworkMa+
  824 root      20   0  763316  10152   8276 S   0.2   0.1   0:32.71 deepin-se+
 2812 hbyc      20   0 1711776  95256  68720 S   0.2   1.2   0:18.23 qaxtray
 2844 hbyc      20   0   54660   8056   7480 S   0.2   0.1   0:05.59 fcitx-hel+
 2887 hbyc      20   0  695744 121532 104612 S   0.2   1.5   0:09.01 wpsclouds+
 3100 hbyc      20   0 5510156 190808 143280 S   0.2   2.4   0:22.71 dmanHelper
    1 root      20   0  166040  10016   7028 S   0.0   0.1   0:05.71 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu+
    9 root      20   0       0      0      0 S   0.0   0.0   0:01.17 ksoftirqd+
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration+
   13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
   15 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration+
   16 root      20   0       0      0      0 S   0.0   0.0   0:00.75 ksoftirqd+
   18 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1+
   19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
   20 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration+
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.95 ksoftirqd+
   23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
   24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
   25 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration+
   26 root      20   0       0      0      0 S   0.0   0.0   0:00.68 ksoftirqd+
